x,y,label,label_str
-37.27064,-35.677067,0,正常 (Normal)
-37.145775,-35.198715,0,正常 (Normal)
-37.10287,-35.33139,0,正常 (Normal)
-35.213577,-36.64114,0,正常 (Normal)
-38.796524,-34.39125,0,正常 (Normal)
-36.908607,-35.001583,0,正常 (Normal)
-36.71816,-34.507626,0,正常 (Normal)
-36.62457,-34.255516,0,正常 (Normal)
-36.636448,-34.296127,0,正常 (Normal)
-36.609093,-34.23678,0,正常 (Normal)
-37.682858,-33.902058,0,正常 (Normal)
-36.57679,-34.053516,0,正常 (Normal)
-36.568535,-34.060753,0,正常 (Normal)
-36.74618,-34.690453,0,正常 (Normal)
-36.61544,-34.283577,0,正常 (Normal)
-32.645077,-38.095352,0,正常 (Normal)
-31.435326,-39.93611,0,正常 (Normal)
-32.858536,-38.291096,0,正常 (Normal)
-36.854908,-34.854454,0,正常 (Normal)
-31.668911,-40.011253,0,正常 (Normal)
-31.750128,-40.23535,0,正常 (Normal)
-31.575062,-43.402233,0,正常 (Normal)
-31.637405,-43.47132,0,正常 (Normal)
-31.861614,-43.5471,0,正常 (Normal)
-31.895159,-43.448658,0,正常 (Normal)
-36.348213,-38.156822,0,正常 (Normal)
-36.484177,-38.34062,0,正常 (Normal)
-36.500156,-38.2528,0,正常 (Normal)
-35.391567,-41.091522,0,正常 (Normal)
-34.097546,-40.47277,0,正常 (Normal)
-34.140324,-40.498478,0,正常 (Normal)
-32.10725,-43.826347,0,正常 (Normal)
-33.990517,-40.558918,0,正常 (Normal)
-35.327633,-39.3862,0,正常 (Normal)
-35.153374,-39.48943,0,正常 (Normal)
-32.75726,-42.315746,0,正常 (Normal)
-35.31656,-39.411583,0,正常 (Normal)
-32.79552,-42.319813,0,正常 (Normal)
-32.84935,-42.29895,0,正常 (Normal)
-35.406937,-39.510487,0,正常 (Normal)
-37.676815,-37.262344,0,正常 (Normal)
-37.691864,-37.1462,0,正常 (Normal)
-37.668453,-37.11229,0,正常 (Normal)
-36.56194,-38.137703,0,正常 (Normal)
-36.53825,-38.193615,0,正常 (Normal)
-34.79741,-39.003155,0,正常 (Normal)
-34.69771,-39.02899,0,正常 (Normal)
-34.879314,-39.026722,0,正常 (Normal)
-31.94909,-42.57747,0,正常 (Normal)
-32.084488,-42.53444,0,正常 (Normal)
-32.08838,-42.50336,0,正常 (Normal)
-33.548508,-40.7046,0,正常 (Normal)
-37.40507,-36.226364,0,正常 (Normal)
-37.94504,-36.914886,0,正常 (Normal)
-37.998234,-36.65761,0,正常 (Normal)
-37.95125,-36.968624,0,正常 (Normal)
-37.97191,-36.843437,0,正常 (Normal)
-36.50337,-38.282192,0,正常 (Normal)
-35.800694,-37.39944,0,正常 (Normal)
-35.587463,-36.912437,0,正常 (Normal)
-35.450157,-36.943146,0,正常 (Normal)
-35.55058,-37.019566,0,正常 (Normal)
-32.963776,-38.113674,0,正常 (Normal)
-31.942427,-42.585045,0,正常 (Normal)
-31.777346,-42.59438,0,正常 (Normal)
-33.050297,-40.672855,0,正常 (Normal)
-32.153675,-40.075275,0,正常 (Normal)
-33.527176,-40.649525,0,正常 (Normal)
-35.610794,-40.6808,0,正常 (Normal)
-35.622894,-40.66601,0,正常 (Normal)
-35.61652,-40.687626,0,正常 (Normal)
-33.72135,-40.67014,0,正常 (Normal)
-34.92157,-39.33809,0,正常 (Normal)
-33.634956,-40.651016,0,正常 (Normal)
-37.755566,-38.112236,0,正常 (Normal)
-38.29136,-37.44887,0,正常 (Normal)
-38.309452,-37.424793,0,正常 (Normal)
-38.29745,-37.40916,0,正常 (Normal)
-38.215588,-34.851433,0,正常 (Normal)
-31.734743,-42.586727,0,正常 (Normal)
-31.701302,-42.64694,0,正常 (Normal)
-31.68413,-42.638504,0,正常 (Normal)
-32.838844,-38.209064,0,正常 (Normal)
-36.868313,-35.447144,0,正常 (Normal)
-36.719803,-34.552876,0,正常 (Normal)
-36.96655,-35.221565,0,正常 (Normal)
-36.999863,-35.158962,0,正常 (Normal)
-37.0648,-35.276054,0,正常 (Normal)
-37.113213,-35.46408,0,正常 (Normal)
-35.41186,-36.81433,0,正常 (Normal)
-35.401943,-36.811485,0,正常 (Normal)
-33.35677,-38.366196,0,正常 (Normal)
-33.21455,-38.33745,0,正常 (Normal)
-31.689089,-42.59636,0,正常 (Normal)
-31.84924,-42.58147,0,正常 (Normal)
-31.721752,-42.583096,0,正常 (Normal)
-31.99746,-42.60608,0,正常 (Normal)
-31.625269,-42.63973,0,正常 (Normal)
-32.227932,-42.513653,0,正常 (Normal)
-31.777367,-42.552902,0,正常 (Normal)
-32.57678,-42.39682,0,正常 (Normal)
-33.829853,-40.650536,0,正常 (Normal)
-35.404827,-39.588142,0,正常 (Normal)
-35.104702,-39.449265,0,正常 (Normal)
-36.627724,-38.325233,0,正常 (Normal)
-36.53889,-38.278103,0,正常 (Normal)
-35.417755,-39.559254,0,正常 (Normal)
-34.953564,-39.282852,0,正常 (Normal)
-36.53419,-38.267864,0,正常 (Normal)
-37.361385,-36.0348,0,正常 (Normal)
-37.52655,-36.586323,0,正常 (Normal)
-37.14464,-35.361546,0,正常 (Normal)
-37.216045,-35.531357,0,正常 (Normal)
-35.40248,-36.81759,0,正常 (Normal)
-35.368683,-36.787132,0,正常 (Normal)
-35.309814,-36.661106,0,正常 (Normal)
-35.342293,-36.793434,0,正常 (Normal)
-31.863523,-40.174706,0,正常 (Normal)
-31.895878,-40.11288,0,正常 (Normal)
-31.826628,-40.007668,0,正常 (Normal)
-31.906668,-42.55595,0,正常 (Normal)
-31.95965,-42.586636,0,正常 (Normal)
-32.035267,-42.54376,0,正常 (Normal)
-34.819733,-39.257267,0,正常 (Normal)
-34.653313,-39.171215,0,正常 (Normal)
-35.09587,-39.429115,0,正常 (Normal)
-34.850586,-39.289486,0,正常 (Normal)
-34.958286,-39.3851,0,正常 (Normal)
-33.800076,-40.586212,0,正常 (Normal)
-35.82286,-39.762623,0,正常 (Normal)
-37.39535,-37.930096,0,正常 (Normal)
-35.344883,-40.08109,0,正常 (Normal)
-35.22462,-40.097954,0,正常 (Normal)
-34.99409,-40.095047,0,正常 (Normal)
-35.037323,-40.14331,0,正常 (Normal)
-34.894535,-40.063828,0,正常 (Normal)
-34.895508,-40.09665,0,正常 (Normal)
-35.191116,-38.53959,0,正常 (Normal)
-38.179607,-36.65446,0,正常 (Normal)
-35.200123,-38.8962,0,正常 (Normal)
-32.860794,-42.91328,0,正常 (Normal)
-35.517456,-37.763,0,正常 (Normal)
-32.842915,-42.897717,0,正常 (Normal)
-32.8231,-42.885937,0,正常 (Normal)
-35.453556,-37.75428,0,正常 (Normal)
-35.468647,-37.653637,0,正常 (Normal)
-35.093147,-38.499863,0,正常 (Normal)
-35.126995,-38.610283,0,正常 (Normal)
-32.772694,-42.92941,0,正常 (Normal)
-32.805344,-42.95428,0,正常 (Normal)
-35.12566,-38.643764,0,正常 (Normal)
-32.809017,-42.96249,0,正常 (Normal)
-35.12724,-38.71972,0,正常 (Normal)
-35.225883,-39.029095,0,正常 (Normal)
-35.15955,-38.724876,0,正常 (Normal)
-32.32678,-43.91638,0,正常 (Normal)
-32.324688,-43.916237,0,正常 (Normal)
-32.329395,-43.919838,0,正常 (Normal)
-32.333767,-43.905407,0,正常 (Normal)
-32.485455,-43.72462,0,正常 (Normal)
-32.479656,-43.725544,0,正常 (Normal)
-32.477074,-43.694527,0,正常 (Normal)
-38.49199,-36.8337,0,正常 (Normal)
-33.302917,-42.588253,0,正常 (Normal)
-35.411427,-39.637604,0,正常 (Normal)
-38.522118,-36.82631,0,正常 (Normal)
-35.54461,-39.665653,0,正常 (Normal)
-33.23803,-42.662544,0,正常 (Normal)
-35.26773,-38.881687,0,正常 (Normal)
-32.338802,-43.8753,0,正常 (Normal)
-32.306736,-43.909626,0,正常 (Normal)
-35.464577,-37.684685,0,正常 (Normal)
-35.451084,-37.972584,0,正常 (Normal)
-32.410587,-43.7378,0,正常 (Normal)
-32.395443,-43.75192,0,正常 (Normal)
-32.46032,-43.70554,0,正常 (Normal)
-32.482857,-43.684177,0,正常 (Normal)
-32.482346,-43.69489,0,正常 (Normal)
-33.07183,-42.883377,0,正常 (Normal)
-33.110714,-42.83136,0,正常 (Normal)
-33.13769,-42.81192,0,正常 (Normal)
-34.783897,-40.31363,0,正常 (Normal)
-34.87213,-40.182995,0,正常 (Normal)
-33.232697,-42.697155,0,正常 (Normal)
-37.858547,-36.974567,0,正常 (Normal)
-37.85541,-37.11002,0,正常 (Normal)
-35.496555,-39.62376,0,正常 (Normal)
-38.63347,-36.86006,0,正常 (Normal)
-38.674393,-36.807278,0,正常 (Normal)
-35.276146,-38.890987,0,正常 (Normal)
-35.214653,-38.71656,0,正常 (Normal)
-35.186977,-38.62368,0,正常 (Normal)
-32.316784,-43.74861,0,正常 (Normal)
-35.091682,-38.431797,0,正常 (Normal)
-38.142883,-36.19821,0,正常 (Normal)
-37.88376,-36.27677,0,正常 (Normal)
-38.169655,-36.219147,0,正常 (Normal)
-38.17,-36.31178,0,正常 (Normal)
-38.198006,-36.02631,0,正常 (Normal)
-37.962772,-36.044178,0,正常 (Normal)
-37.936436,-36.003746,0,正常 (Normal)
-35.455982,-37.53435,0,正常 (Normal)
-35.425537,-37.30481,0,正常 (Normal)
-31.614786,-39.835464,0,正常 (Normal)
-32.630978,-43.007263,0,正常 (Normal)
-31.65312,-39.825043,0,正常 (Normal)
-19.063591,-35.18985,0,正常 (Normal)
-27.615355,-35.20962,0,正常 (Normal)
-27.704348,-35.366264,0,正常 (Normal)
-24.780823,-43.263187,0,正常 (Normal)
-24.01867,-43.75144,0,正常 (Normal)
-23.552256,-44.073174,0,正常 (Normal)
-22.850561,-44.415405,0,正常 (Normal)
-22.62162,-44.433758,0,正常 (Normal)
-22.412415,-44.379433,0,正常 (Normal)
-19.260904,-41.144535,0,正常 (Normal)
-17.324965,-39.422714,0,正常 (Normal)
-17.253801,-39.22884,0,正常 (Normal)
-17.256395,-39.10481,0,正常 (Normal)
-17.39721,-39.17247,0,正常 (Normal)
-19.27422,-38.27562,0,正常 (Normal)
-19.187542,-38.32676,0,正常 (Normal)
-19.106033,-38.443718,0,正常 (Normal)
-18.531343,-37.783867,0,正常 (Normal)
-18.465626,-37.96425,0,正常 (Normal)
-18.186514,-36.97508,0,正常 (Normal)
-18.158648,-37.040108,0,正常 (Normal)
-18.520645,-37.878838,0,正常 (Normal)
-19.676975,-39.721745,0,正常 (Normal)
-19.635408,-39.764347,0,正常 (Normal)
-22.53505,-44.06342,0,正常 (Normal)
-19.552448,-40.25395,0,正常 (Normal)
-19.594042,-40.512825,0,正常 (Normal)
-19.58331,-40.586617,0,正常 (Normal)
-18.984169,-39.511192,0,正常 (Normal)
-19.17279,-39.231113,0,正常 (Normal)
